comparison,pheno,p-value,adj. p-value
GENERIC_REVISED_GS_SUB_CAT,Inflexible adherence to routines,0.7136926248172271,1.0
GENERIC_REVISED_GS_SUB_CAT,Impulsivity,0.4427214837095869,1.0
GENERIC_REVISED_GS_SUB_CAT,Aggressive behavior,0.07218844984802432,0.7459473150962513
GENERIC_REVISED_GS_SUB_CAT,Self- injurious behavior,1.0,1.0
GENERIC_REVISED_GS_SUB_CAT,Compulsive behaviors,0.5,1.0
GENERIC_REVISED_GS_SUB_CAT,Restricted/repetitive behaviors/interests,0.7652113026052516,1.0
GENERIC_REVISED_GS_SUB_CAT,Abnormal motivation,1.0,1.0
GENERIC_REVISED_GS_SUB_CAT,Depression<br>,0.776130071924499,1.0
GENERIC_REVISED_GS_SUB_CAT,Seizure<br>,0.7368786280638662,1.0
GENERIC_REVISED_GS_SUB_CAT,Abnormal central motor function<br>,0.5172810920870925,1.0
GENERIC_REVISED_GS_SUB_CAT,Abnormality of the cardiovascular system,1.0,1.0
GENERIC_REVISED_GS_SUB_CAT,Abnormality of the genital system,1.0,1.0
GENERIC_REVISED_GS_SUB_CAT,Abnormality of the thyroid gland,0.06959361702847783,0.7459473150962513
GENERIC_REVISED_GS_SUB_CAT,Abnormality of the adrenal glands,0.6884198133041796,1.0
GENERIC_REVISED_GS_SUB_CAT,Abnormal growth hormone level,0.017209262597295886,0.5334871405161724
GENERIC_REVISED_GS_SUB_CAT,Abnormal glucose homeostasis,1.0,1.0
GENERIC_REVISED_GS_SUB_CAT,Edema,0.6253469010175764,1.0
GENERIC_REVISED_GS_SUB_CAT,Decreased circulating vitamin D concentration,0.5578669768680362,1.0
GENERIC_REVISED_GS_SUB_CAT,Bone fracture,0.5489585550048253,1.0
GENERIC_REVISED_GS_SUB_CAT,Abnormality of the vertebral column,0.736878628063866,1.0
GENERIC_REVISED_GS_SUB_CAT,Hip dysplasia,0.7553254627149466,1.0
GENERIC_REVISED_GS_SUB_CAT,Reduced bone mineral density,0.15543111455674297,0.9636729102518065
GENERIC_REVISED_GS_SUB_CAT,<br>Suicidal ideation,1.0,1.0
GENERIC_REVISED_GS_SUB_CAT,<br><br>Sleep-related breathing disorders,0.369665367903381,1.0
GENERIC_REVISED_GS_SUB_CAT,<br>Excessive daytime somnolence,0.7388569842438368,1.0
GENERIC_REVISED_GS_SUB_CAT,Hallucinations,0.46980115706893866,1.0
GENERIC_REVISED_GS_SUB_CAT,Abnormal psychotic pattern,0.14394834427324416,0.9636729102518065
GENERIC_REVISED_GS_SUB_CAT,Attention deficit hyperactivity disorder,1.0,1.0
GENERIC_REVISED_GS_SUB_CAT,Polyphagia,0.1902311374228199,0.9828608766845696
GENERIC_REVISED_GS_SUB_CAT,Gastroesophageal reflux,1.0,1.0
GENERIC_REVISED_GS_SUB_CAT,Strabismus,0.38193831762628083,1.0
