field,Survey,Clinical Feature this Question is assessing,Question Text,Variable Field Name,Choices,HPO_ID,HPO_TERM,
getting_started.current_age,Getting Started,Demographics,"In years, how old is the participant currently? (The person with PWS)",current_age,,skip,,
getting_started.pt_sex,Getting Started,demographics,What is the participant's sex? (The person with PWS),pt_sex,"0, Male | 1, Female | 2, Don't know",skip,,
diagnosis.diagnosis_genetic_testing,Diagnosis,Genetic Subtype,Was genetic testing performed to make the diagnosis of PWS?,diagnosis_genetic_testing,$(yndk),skip,,
general_medical_history.medical_care_defects_heart,General Medical History,Congenital Defects,Congenital heart disease,medical_care_defects_heart,$(yndk),HP:0001627,Abnormal heart morphology,yes
general_medical_history.medical_care_defects_kidney_urine,General Medical History,Congenital Defects,Malformations of the kidney and urinary tract,medical_care_defects_kidney_urine,$(yndk),"multiple HPO-HP:0012210,HP:0000079",,
general_medical_history.medical_care_defects_corpus_callosum,General Medical History,Congenital Defects,Agenesis/hypoplasia of the corpus callosum (underdeveloped white matter between brain hemispheres),medical_care_defects_corpus_callosum,$(yndk),HP:0007370,Aplasia/Hypoplasia of the corpus callosum,yes
general_medical_history.medical_care_defects_other_type,General Medical History,Congenital Defects,What other congenital defect(s)?,medical_care_defects_other_type,,manual,,
thrombosis_risk_history.thrombosis_risk_blood_clot,Thrombosis Risk Blood Clot,Edema,1. Has the participant ever had a blood clot?,thrombosis_risk_blood_clot,"0,Yes | 1,No | 2,Don't Know",HP:0001977,Abnormal thrombosis,
thrombosis_risk_history.thrombosis_risk_edema,Thrombosis Risk Blood Clot,Edema,2. Has the participant ever had edema (swelling due to excess fluid)?,thrombosis_risk_edema,"0,Yes | 1,No | 2,Don't Know",HP:0000969,Edema,
psychological_and_mental_health.psych_behavior_anxiety,Psychological and Mental Health,Anxiety ,Has the participant ever experienced the following mental health conditions?: Anxiety disorder,psych_behavior_anxiety,$(yndk),HP:0000739,Anxiety,yes
psychological_and_mental_health.psych_behavior_anxiety_severity_peak,Psychological and Mental Health,Anxiety,"Severity of anxiety disorder at its peak (e.g. without any treatment, or in the past)",psych_behavior_anxiety_severity_peak,"0,Very severe - disrupting his/her daily life, requires medical/professional attention or hospitalization | 1,Severe - disruptive at times | 2,Moderate - problem at times but not constant or on-going | 3,Mild - perhaps a single isolated incident, generally not recurring | 4,Don't know",skip,,
